timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence,lat,lon,dist_m,spd_ms,altitude,dt_s,d_m,moving,elev_smooth,day_local
2025-09-23T00:38:46Z,28.784675309434533,83.96597729064524,125206.3,0,4911.8,105,0,0,28.784675309434533,83.96597729064524,125206.3,0,4911.8,6,0.9700000000011642,FALSE,4911.8,2025-09-23
2025-09-23T00:38:54Z,28.78466877155006,83.96598290652037,125207.1,0,4912.8,106,0,0,28.78466877155006,83.96598290652037,125207.1,0,4912.8,8,0.8000000000029104,FALSE,4912.8,2025-09-23
2025-09-23T00:38:57Z,28.78466634079814,83.96598768420517,125207.72,0,4913,103,0,0,28.78466634079814,83.96598768420517,125207.72,0,4913,3,0.6199999999953434,FALSE,4912.8,2025-09-23
2025-09-23T00:39:02Z,28.78466877155006,83.96598290652037,125208.12,0,4912.8,102,0,0,28.78466877155006,83.96598290652037,125208.12,0,4912.8,5,0.39999999999417923,FALSE,4912.8,2025-09-23
2025-09-23T00:39:11Z,28.78466877155006,83.96598290652037,125208.12,0,4912.8,101,0,0,28.78466877155006,83.96598290652037,125208.12,0,4912.8,9,0,FALSE,4912.8,2025-09-23
2025-09-23T00:39:20Z,28.78466877155006,83.96598290652037,125208.12,0,4913.2,104,0,0,28.78466877155006,83.96598290652037,125208.12,0,4913.2,9,0,FALSE,4912.8,2025-09-23
2025-09-23T00:39:26Z,28.78466877155006,83.96598290652037,125208.12,0,4913.2,103,0,0,28.78466877155006,83.96598290652037,125208.12,0,4913.2,6,0,FALSE,4913,2025-09-23
2025-09-23T00:39:44Z,28.78466877155006,83.96598290652037,125208.12,0,4912.6,103,0,0,28.78466877155006,83.96598290652037,125208.12,0,4912.6,18,0,FALSE,4913.2,2025-09-23
2025-09-23T00:39:55Z,28.784713950008154,83.9659639634192,125213.97,1.577,4912.8,104,0,0,28.784713950008154,83.9659639634192,125213.97,1.577,4912.8,11,5.850000000005821,TRUE,4913.2,2025-09-23
2025-09-23T00:40:01Z,28.78475242294371,83.96594267338514,125219,0,4913.2,104,0,0,28.78475242294371,83.96594267338514,125219,0,4913.2,6,5.029999999998836,FALSE,4913.2,2025-09-23
2025-09-23T00:40:04Z,28.78477622754872,83.96594426594675,125221.87,0.569,4914,105,0,0,28.78477622754872,83.96594426594675,125221.87,0.569,4914,3,2.8699999999953434,TRUE,4914,2025-09-23
2025-09-23T00:40:08Z,28.78480019979179,83.96592188626528,125224.98,0,4914.6,106,0,0,28.78480019979179,83.96592188626528,125224.98,0,4914.6,4,3.110000000000582,FALSE,4914.6,2025-09-23
2025-09-23T00:40:10Z,28.784788800403476,83.96590822376311,125226.47,0,4915,106,0,0,28.784788800403476,83.96590822376311,125226.47,0,4915,2,1.4900000000052387,FALSE,4915,2025-09-23
2025-09-23T00:40:13Z,28.784751249477267,83.96589254960418,125230.91,0,4915.4,107,0,0,28.784751249477267,83.96589254960418,125230.91,0,4915.4,3,4.440000000002328,FALSE,4915.4,2025-09-23
2025-09-23T00:40:16Z,28.78473473712802,83.96590109914541,125233.68,1.446,4916.2,108,0,0,28.78473473712802,83.96590109914541,125233.68,1.446,4916.2,3,2.7699999999895226,TRUE,4916.2,2025-09-23
2025-09-23T00:40:17Z,28.784737084060907,83.96590755321085,125234.58,1.446,4916.4,109,0,0,28.784737084060907,83.96590755321085,125234.58,1.446,4916.4,1,0.9000000000087311,TRUE,4916.4,2025-09-23
2025-09-23T00:40:18Z,28.784737419337034,83.96590939722955,125235.05,0,4916.6,109,0,0,28.784737419337034,83.96590939722955,125235.05,0,4916.6,1,0.47000000000116415,FALSE,4916.4,2025-09-23
2025-09-23T00:40:22Z,28.78473381511867,83.96591451019049,125235.9,0,4917,112,0,0,28.78473381511867,83.96591451019049,125235.9,0,4917,4,0.8499999999912689,FALSE,4916.6,2025-09-23
2025-09-23T00:40:24Z,28.78473381511867,83.96591451019049,125235.9,0,4917.2,113,0,0,28.78473381511867,83.96591451019049,125235.9,0,4917.2,2,0,FALSE,4916.8,2025-09-23
2025-09-23T00:40:30Z,28.78473381511867,83.96591451019049,125235.9,0,4917.6,114,0,0,28.78473381511867,83.96591451019049,125235.9,0,4917.6,6,0,FALSE,4916.8,2025-09-23
2025-09-23T00:40:40Z,28.784731049090624,83.96589095704257,125236.98,0,4916.4,116,0,0,28.784731049090624,83.96589095704257,125236.98,0,4916.4,10,1.0800000000017462,FALSE,4917,2025-09-23
2025-09-23T00:40:46Z,28.784672040492296,83.96586966700852,125243.69,1.521,4916.8,113,0,0,28.784672040492296,83.96586966700852,125243.69,1.521,4916.8,6,6.710000000006403,TRUE,4917.2,2025-09-23
2025-09-23T00:40:47Z,28.784660305827856,83.96586421877146,125245.28,1.344,4916.8,112,0,0,28.784660305827856,83.96586421877146,125245.28,1.344,4916.8,1,1.5899999999965075,TRUE,4917.4,2025-09-23
2025-09-23T00:40:50Z,28.784653265029192,83.96584745496511,125247.3,1.073,4917.4,110,76,0,28.784653265029192,83.96584745496511,125247.3,1.073,4917.4,3,2.0200000000040745,TRUE,4917.6,2025-09-23
2025-09-23T00:40:53Z,28.784660389646888,83.96584033034742,125247.42,1.269,4918.4,112,76,0,28.784660389646888,83.96584033034742,125247.42,1.269,4918.4,3,0.11999999999534339,TRUE,4918.4,2025-09-23
2025-09-23T00:40:54Z,28.784667178988457,83.9658378995955,125247.7,0.802,4918.6,113,76,0,28.784667178988457,83.9658378995955,125247.7,0.802,4918.6,1,0.27999999999883585,TRUE,4918.6,2025-09-23
2025-09-23T00:41:01Z,28.784722248092294,83.96581753157079,125254.53,1.008,4919.4,115,0,0,28.784722248092294,83.96581753157079,125254.53,1.008,4919.4,7,6.830000000001746,TRUE,4919.4,2025-09-23
2025-09-23T00:41:07Z,28.784765414893627,83.96581694483757,125259.95,0,4920.4,117,0,0,28.784765414893627,83.96581694483757,125259.95,0,4920.4,6,5.419999999998254,FALSE,4920.4,2025-09-23
2025-09-23T00:41:12Z,28.784795589745045,83.96581116132438,125263.41,0,4921.4,118,0,0,28.784795589745045,83.96581116132438,125263.41,0,4921.4,5,3.460000000006403,FALSE,4921.4,2025-09-23
2025-09-23T00:41:13Z,28.784805815666914,83.96581241860986,125264.2,0.97,4921.6,118,0,0,28.784805815666914,83.96581241860986,125264.2,0.97,4921.6,1,0.7899999999935972,TRUE,4921.6,2025-09-23
2025-09-23T00:41:17Z,28.7848203163594,83.96581158041954,125266.31,0,4922.2,118,0,0,28.7848203163594,83.96581158041954,125266.31,0,4922.2,4,2.110000000000582,FALSE,4922.2,2025-09-23
2025-09-23T00:41:21Z,28.784848898649216,83.96580956876278,125269.5,0,4922.6,119,0,0,28.784848898649216,83.96580956876278,125269.5,0,4922.6,4,3.1900000000023283,FALSE,4922.6,2025-09-23
2025-09-23T00:41:23Z,28.784860549494624,83.9658099040389,125270.95,0,4922.8,119,0,0,28.784860549494624,83.9658099040389,125270.95,0,4922.8,2,1.4499999999970896,FALSE,4922.8,2025-09-23
2025-09-23T00:41:29Z,28.784902039915323,83.96581945940852,125275.49,1.026,4923.4,117,67,0,28.784902039915323,83.96581945940852,125275.49,1.026,4923.4,6,4.540000000008149,TRUE,4923.4,2025-09-23
2025-09-23T00:41:31Z,28.78491310402751,83.96581761538982,125276.77,1.036,4923.8,117,0,0,28.78491310402751,83.96581761538982,125276.77,1.036,4923.8,2,1.2799999999988358,TRUE,4923.8,2025-09-23
2025-09-23T00:41:35Z,28.784927017986774,83.96580864675343,125278.46,0,4924.4,117,0,0,28.784927017986774,83.96580864675343,125278.46,0,4924.4,4,1.6900000000023283,FALSE,4924.4,2025-09-23
2025-09-23T00:41:38Z,28.784947553649545,83.96580588072538,125280.28,0,4924.8,117,0,0,28.784947553649545,83.96580588072538,125280.28,0,4924.8,3,1.819999999992433,FALSE,4924.8,2025-09-23
2025-09-23T00:41:42Z,28.784986110404134,83.96581828594208,125284.6,0,4925.4,120,0,0,28.784986110404134,83.96581828594208,125284.6,0,4925.4,4,4.320000000006985,FALSE,4925.4,2025-09-23
2025-09-23T00:41:46Z,28.785014441236854,83.96582524292171,125288.45,0,4925.8,121,0,0,28.785014441236854,83.96582524292171,125288.45,0,4925.8,4,3.849999999991269,FALSE,4925.8,2025-09-23
2025-09-23T00:41:48Z,28.785023158416152,83.9658307749778,125289.31,0,4926,121,0,0,28.785023158416152,83.9658307749778,125289.31,0,4926,2,0.8600000000005821,FALSE,4926,2025-09-23
2025-09-23T00:41:53Z,28.785040844231844,83.9658534899354,125292.36,0,4927,121,0,0,28.785040844231844,83.9658534899354,125292.36,0,4927,5,3.0500000000029104,FALSE,4927,2025-09-23
2025-09-23T00:41:54Z,28.785037575289607,83.96585114300251,125292.36,0.224,4927.2,121,0,0,28.785037575289607,83.96585114300251,125292.36,0.224,4927.2,1,0,FALSE,4927.2,2025-09-23
2025-09-23T00:42:01Z,28.785047130659223,83.96586203947663,125293.96,0,4927.8,120,0,0,28.785047130659223,83.96586203947663,125293.96,0,4927.8,7,1.6000000000058208,FALSE,4927.8,2025-09-23
2025-09-23T00:42:02Z,28.785045705735683,83.96586069837213,125293.96,0,4928,121,0,0,28.785045705735683,83.96586069837213,125293.96,0,4928,1,0,FALSE,4928,2025-09-23
2025-09-23T00:42:07Z,28.785037575289607,83.96585265174508,125294.42,0,4928.4,121,0,0,28.785037575289607,83.96585265174508,125294.42,0,4928.4,5,0.4599999999918509,FALSE,4928.4,2025-09-23
2025-09-23T00:42:14Z,28.785035647451878,83.96585105918348,125294.43,0,4928.4,119,0,0,28.785035647451878,83.96585105918348,125294.43,0,4928.4,7,0.00999999999476131,FALSE,4928.4,2025-09-23
2025-09-23T00:42:20Z,28.785080322995782,83.96585742942989,125299.66,1.204,4928.6,117,44,0,28.785080322995782,83.96585742942989,125299.66,1.204,4928.6,6,5.230000000010477,TRUE,4928.6,2025-09-23
2025-09-23T00:42:25Z,28.7851345539093,83.96585809998214,125305.98,1.446,4928.6,116,44,0.5,28.7851345539093,83.96585809998214,125305.98,1.446,4928.6,5,6.319999999992433,TRUE,4928.6,2025-09-23
2025-09-23T00:42:27Z,28.785148467868567,83.96585650742054,125307.93,1.372,4929,115,0,0,28.785148467868567,83.96585650742054,125307.93,1.372,4929,2,1.9499999999970896,TRUE,4929,2025-09-23
2025-09-23T00:42:32Z,28.785174367949367,83.96586631424725,125310.62,0.989,4930,113,0,0,28.785174367949367,83.96586631424725,125310.62,0.989,4930,5,2.6900000000023283,TRUE,4930,2025-09-23
2025-09-23T00:42:33Z,28.785182582214475,83.96587327122688,125311.36,0.97,4930.2,113,0,0,28.785182582214475,83.96587327122688,125311.36,0.97,4930.2,1,0.7400000000052387,TRUE,4930.2,2025-09-23
2025-09-23T00:42:38Z,28.78520580008626,83.9658793900162,125314.51,1.017,4931,109,71,0.5,28.78520580008626,83.9658793900162,125314.51,1.017,4931,5,3.1499999999941792,TRUE,4931,2025-09-23
2025-09-23T00:42:40Z,28.785211835056543,83.96587930619717,125314.95,0.97,4931.2,107,0,0,28.785211835056543,83.96587930619717,125314.95,0.97,4931.2,2,0.4400000000023283,TRUE,4931.2,2025-09-23
2025-09-23T00:42:44Z,28.785238824784756,83.96589037030935,125318.11,0.243,4931.8,107,0,0,28.785238824784756,83.96589037030935,125318.11,0.243,4931.8,4,3.1600000000034925,FALSE,4931.8,2025-09-23
2025-09-23T00:42:48Z,28.785286098718643,83.96588768810034,125323.19,0.271,4932.2,111,0,0,28.785286098718643,83.96588768810034,125323.19,0.271,4932.2,4,5.080000000001746,FALSE,4932.2,2025-09-23
2025-09-23T00:42:50Z,28.785307724028826,83.96588500589132,125325.9,1.437,4932.4,112,74,0,28.785307724028826,83.96588500589132,125325.9,1.437,4932.4,2,2.709999999991851,TRUE,4932.4,2025-09-23
2025-09-23T00:42:59Z,28.78539045341313,83.96587922237813,125335.38,1.325,4933.2,113,42,0.5,28.78539045341313,83.96587922237813,125335.38,1.325,4933.2,9,9.480000000010477,TRUE,4933.2,2025-09-23
2025-09-23T00:43:00Z,28.78539732657373,83.96587545052171,125336,1.185,4933.4,113,41,0,28.78539732657373,83.96587545052171,125336,1.185,4933.4,1,0.6199999999953434,TRUE,4933.4,2025-09-23
2025-09-23T00:43:05Z,28.78539782948792,83.96586782298982,125336.59,0.709,4934,113,0,0,28.78539782948792,83.96586782298982,125336.59,0.709,4934,5,0.5899999999965075,TRUE,4934,2025-09-23
2025-09-23T00:43:12Z,28.785399002954364,83.96582507528365,125342.16,1.605,4934.2,112,0,0,28.785399002954364,83.96582507528365,125342.16,1.605,4934.2,7,5.570000000006985,TRUE,4934.2,2025-09-23
2025-09-23T00:43:13Z,28.785396991297603,83.96582440473139,125342.29,1.288,4934.4,113,65,0,28.785396991297603,83.96582440473139,125342.29,1.288,4934.4,1,0.1299999999901047,TRUE,4934.4,2025-09-23
2025-09-23T00:43:14Z,28.785391375422478,83.96582859568298,125342.3,1.11,4934.4,113,65,0,28.785391375422478,83.96582859568298,125342.3,1.11,4934.4,1,0.010000000009313226,TRUE,4934.4,2025-09-23
2025-09-23T00:43:18Z,28.785360949113965,83.96582348272204,125344.52,0.868,4935.2,112,0,0,28.785360949113965,83.96582348272204,125344.52,0.868,4935.2,4,2.220000000001164,TRUE,4935.2,2025-09-23
2025-09-23T00:43:19Z,28.78535332158208,83.96582515910268,125345.09,0.868,4935.4,112,0,0,28.78535332158208,83.96582515910268,125345.09,0.868,4935.4,1,0.569999999992433,TRUE,4935.4,2025-09-23
2025-09-23T00:43:28Z,28.785329097881913,83.96583303809166,125347.55,0,4936.2,110,0,0,28.785329097881913,83.96583303809166,125347.55,0,4936.2,9,2.460000000006403,FALSE,4935.4,2025-09-23
2025-09-23T00:43:33Z,28.785329097881913,83.96583303809166,125347.55,0,4936.6,110,0,0,28.785329097881913,83.96583303809166,125347.55,0,4936.6,5,0,FALSE,4935.4,2025-09-23
2025-09-23T00:43:36Z,28.785329097881913,83.96583303809166,125347.55,0,4937.2,109,0,0,28.785329097881913,83.96583303809166,125347.55,0,4937.2,3,0,FALSE,4935.6,2025-09-23
2025-09-23T00:43:48Z,28.785329097881913,83.96583303809166,125347.55,0,4936.6,109,0,0,28.785329097881913,83.96583303809166,125347.55,0,4936.6,12,0,FALSE,4936.2,2025-09-23
2025-09-23T00:43:51Z,28.78533915616572,83.96583178080618,125347.55,0,4935.6,112,0,0,28.78533915616572,83.96583178080618,125347.55,0,4935.6,3,0,FALSE,4936.2,2025-09-23
2025-09-23T00:43:52Z,28.785353992134333,83.96585055626929,125349.77,0,4935.2,113,0,0,28.785353992134333,83.96585055626929,125349.77,0,4935.2,1,2.220000000001164,FALSE,4936.2,2025-09-23
2025-09-23T00:43:54Z,28.78536111675203,83.96583655849099,125349.77,1.269,4935.2,113,0,0,28.78536111675203,83.96583655849099,125349.77,1.269,4935.2,2,0,TRUE,4936.4,2025-09-23
2025-09-23T00:44:00Z,28.785345945507288,83.9658294338733,125351.54,0.709,4936.2,111,0,0,28.785345945507288,83.9658294338733,125351.54,0.709,4936.2,6,1.7699999999895226,TRUE,4936.4,2025-09-23
2025-09-23T00:44:06Z,28.78533815033734,83.96581501699984,125353.98,0.886,4936.2,108,0,0,28.78533815033734,83.96581501699984,125353.98,0.886,4936.2,6,2.4400000000023283,TRUE,4936.4,2025-09-23
2025-09-23T00:44:09Z,28.785331277176738,83.96580135449767,125355.12,0.746,4936.4,108,0,0,28.785331277176738,83.96580135449767,125355.12,0.746,4936.4,3,1.139999999999418,TRUE,4936.4,2025-09-23
2025-09-23T00:44:16Z,28.785328678786755,83.96575433202088,125360.12,0.802,4937.4,110,0,0,28.785328678786755,83.96575433202088,125360.12,0.802,4937.4,7,5,TRUE,4937.4,2025-09-23
2025-09-23T00:44:20Z,28.78532063215971,83.9657221455127,125363.27,0.896,4938.8,112,76,0,28.78532063215971,83.9657221455127,125363.27,0.896,4938.8,4,3.150000000008731,TRUE,4938.8,2025-09-23
2025-09-23T00:44:23Z,28.78531032241881,83.96570077165961,125365.59,0.793,4939.8,114,0,0,28.78531032241881,83.96570077165961,125365.59,0.793,4939.8,3,2.319999999992433,TRUE,4939.8,2025-09-23
